site,year,fuel,PJ
Barrow Mill,2030,biomass,0.138
Barrow Mill,2030,gas,0.5197
Barrow Mill,2032,biomass,0.138
Barrow Mill,2032,gas,0.4548
Barrow Mill,2032,hydrogen,0.0628
Barrow Mill,2034,biomass,0.2025
Barrow Mill,2034,gas,0.3898
Barrow Mill,2034,hydrogen,0.0628
Barrow Mill,2036,biomass,0.2025
Barrow Mill,2036,gas,0.3248
Barrow Mill,2036,hydrogen,0.1256
Barrow Mill,2038,biomass,0.5379
Barrow Mill,2038,gas,0.0074
Barrow Mill,2038,hydrogen,0.1256
Barrow Mill,2040,biomass,0.5379
Barrow Mill,2040,gas,0.0056
Barrow Mill,2040,hydrogen,0.1256
Barrow Mill,2042,biomass,0.5379
Barrow Mill,2042,gas,0.0037
Barrow Mill,2042,hydrogen,0.1256
Barrow Mill,2044,biomass,0.5379
Barrow Mill,2044,gas,0.0019
Barrow Mill,2044,hydrogen,0.1256
Barrow Mill,2046,biomass,0.5379
Barrow Mill,2046,hydrogen,0.1256
Barrow Mill,2048,biomass,0.5379
Barrow Mill,2048,hydrogen,0.1237
Barrow Mill,2050,biomass,0.5379
Barrow Mill,2050,hydrogen,0.1218
Barry,2026,gas,0.2208
Barry,2028,gas,0.2208
Barry,2030,gas,0.2208
Barry,2032,gas,0.2193
Barry,2034,gas,0.2178
Barry,2036,gas,0.2164
Barry,2038,gas,0.2157
Barry,2040,gas,0.2151
Barry,2042,biomass,0.0228
Barry,2042,gas,0.193
Barry,2044,biomass,0.0456
Barry,2044,gas,0.1709
Barry,2046,biomass,0.0456
Barry,2046,electricity,0.0068
Barry,2046,gas,0.1489
Barry,2048,biomass,0.0456
Barry,2048,electricity,0.0135
Barry,2048,gas,0.1268
Barry,2050,biomass,0.0456
Barry,2050,electricity,0.0203
Barry,2050,gas,0.1047
Battlefield EfW,2026,gas,0.3301
Battlefield EfW,2028,gas,0.3301
Battlefield EfW,2030,gas,0.3301
Battlefield EfW,2032,gas,0.3279
Battlefield EfW,2034,gas,0.3257
Battlefield EfW,2036,gas,0.3235
Battlefield EfW,2038,gas,0.3226
Battlefield EfW,2040,gas,0.3216
Battlefield EfW,2042,biomass,0.0341
Battlefield EfW,2042,gas,0.2886
Battlefield EfW,2044,biomass,0.0682
Battlefield EfW,2044,gas,0.2556
Battlefield EfW,2046,biomass,0.0682
Battlefield EfW,2046,electricity,0.0295
Battlefield EfW,2046,gas,0.2226
