site,year,fuel,PJ
Caw House,2028,gas,0.3231
Caw House,2029,gas,0.3231
Caw House,2030,gas,0.3231
Caw House,2031,gas,0.322
Caw House,2032,gas,0.321
Caw House,2033,gas,0.3199
Caw House,2034,gas,0.3188
Caw House,2035,gas,0.3177
Caw House,2036,gas,0.3167
Chineham,2026,gas,0.3482
Chineham,2027,gas,0.3482
Chineham,2028,gas,0.3482
Chineham,2029,gas,0.3482
Chineham,2030,gas,0.3482
Chineham,2031,gas,0.347
Chineham,2032,gas,0.3459
Chineham,2033,gas,0.3447
Chineham,2034,gas,0.3436
Chineham,2035,gas,0.3424
Chineham,2036,gas,0.3412
Chirnside,2026,gas,0.543
Chirnside,2027,gas,0.543
Chirnside,2028,gas,0.543
Chirnside,2029,gas,0.543
Chirnside,2030,gas,0.543
Chirnside,2031,gas,0.5412
Chirnside,2032,gas,0.5394
Chirnside,2033,gas,0.5376
Chirnside,2034,gas,0.5358
Chirnside,2035,gas,0.534
Chirnside,2036,gas,0.5322
Colnbrook,2026,gas,1.3942
Colnbrook,2027,gas,1.3942
Colnbrook,2028,gas,1.3942
Colnbrook,2029,gas,1.3942
Colnbrook,2030,gas,1.3942
Colnbrook,2031,gas,1.3895
Colnbrook,2032,gas,1.3849
Colnbrook,2033,gas,1.3802
Colnbrook,2034,gas,1.3756
Colnbrook,2035,gas,1.3709
Colnbrook,2036,gas,1.3663
Cookstown Cement,2026,gas,1.1744
Cookstown Cement,2027,gas,1.206
Cookstown Cement,2028,gas,1.2443
Cookstown Cement,2029,gas,1.2983
Cookstown Cement,2030,gas,1.3524
Cookstown Cement,2031,gas,1.3572
Cookstown Cement,2032,gas,1.362
Cookstown Cement,2033,gas,1.3668
Cookstown Cement,2034,gas,1.3716
Cookstown Cement,2035,gas,1.3813
Cookstown Cement,2036,gas,1.3813
Cornwall Energy Recovery Centre,2026,gas,0.8222
Cornwall Energy Recovery Centre,2027,gas,0.8222
Cornwall Energy Recovery Centre,2028,gas,0.8222
Cornwall Energy Recovery Centre,2029,gas,0.8222
Cornwall Energy Recovery Centre,2030,gas,0.8222
Cornwall Energy Recovery Centre,2031,gas,0.8194
Cornwall Energy Recovery Centre,2032,gas,0.8167
Cornwall Energy Recovery Centre,2033,gas,0.814
Cornwall Energy Recovery Centre,2034,gas,0.8112
Cornwall Energy Recovery Centre,2035,gas,0.8085
Cornwall Energy Recovery Centre,2036,gas,0.8057
Coventry,2026,gas,0.9856
Coventry,2027,gas,0.9856
Coventry,2028,gas,0.9856
Coventry,2029,gas,0.9856
Coventry,2030,gas,0.9856
Coventry,2031,gas,0.9823
Coventry,2032,gas,0.979
Coventry,2033,gas,0.9757
Coventry,2034,gas,0.9724
Coventry,2035,gas,0.9691
Coventry,2036,gas,0.9659
Cowley,2026,gas,0.6005
Cowley,2027,gas,0.6005
Cowley,2028,gas,0.6005
Cowley,2029,gas,0.6005
Cowley,2030,gas,0.6005
Cowley,2031,gas,0.5985
Cowley,2032,gas,0.5965
Cowley,2033,gas,0.5945
Cowley,2034,gas,0.5925
Cowley,2035,gas,0.5905
Cowley,2036,gas,0.5885
Craigavon,2026,gas,0.2838
Craigavon,2027,gas,0.2838
Craigavon,2028,gas,0.2838
Craigavon,2029,gas,0.2838
Craigavon,2030,gas,0.2838
Craigavon,2031,gas,0.2829
Craigavon,2032,gas,0.2819
Craigavon,2033,gas,0.281
Craigavon,2034,gas,0.28
Craigavon,2035,gas,0.2791
Craigavon,2036,gas,0.2782
Cramlington,2026,gas,0.2654
Cramlington,2027,gas,0.2654
Cramlington,2028,gas,0.2654
Cramlington,2029,gas,0.2654
Cramlington,2030,gas,0.2654
