site,year,ktCO2e
Humber Refinery,2027,2112.7977984000004
Humber Refinery,2028,2112.7977984000004
Humber Refinery,2029,2112.7977984000004
Humber Refinery,2030,2112.797798400001
Humber Refinery,2031,2105.7551390720005
Humber Refinery,2032,2098.7124797440006
Humber Refinery,2033,2091.6698204159998
Humber Refinery,2034,2084.6271610880003
Humber Refinery,2035,2077.5845017600004
Humber Refinery,2036,2070.5418424320005
INOVYN Chlorvinyls Newton Aycliffe,2026,36.53729280000001
INOVYN Chlorvinyls Newton Aycliffe,2027,36.53729280000001
INOVYN Chlorvinyls Newton Aycliffe,2028,36.53729280000001
INOVYN Chlorvinyls Newton Aycliffe,2029,36.53729280000001
INOVYN Chlorvinyls Newton Aycliffe,2030,36.53729280000001
INOVYN Chlorvinyls Newton Aycliffe,2031,36.41550182400001
INOVYN Chlorvinyls Newton Aycliffe,2032,36.29371084800001
INOVYN Chlorvinyls Newton Aycliffe,2033,36.171919872000004
INOVYN Chlorvinyls Newton Aycliffe,2034,36.050128896
INOVYN Chlorvinyls Newton Aycliffe,2035,35.92833792000001
INOVYN Chlorvinyls Newton Aycliffe,2036,35.806546944000004
Ibstock Brick Limited - Leicester,2026,45.62984448
Ibstock Brick Limited - Leicester,2027,45.62984448
Ibstock Brick Limited - Leicester,2028,45.62984448
Ibstock Brick Limited - Leicester,2029,45.62984448
Ibstock Brick Limited - Leicester,2030,45.62984448000001
Ibstock Brick Limited - Leicester,2031,45.477743104000005
Ibstock Brick Limited - Leicester,2032,45.325641728000015
Ibstock Brick Limited - Leicester,2033,45.173540352
Ibstock Brick Limited - Leicester,2034,45.021438976
Ibstock Brick Limited - Leicester,2035,44.869337600000016
Ibstock Brick Limited - Leicester,2036,44.717236224000004
Ineos Acetyls Hull,2026,107.85235968000002
Ineos Acetyls Hull,2027,107.85235968000002
Ineos Acetyls Hull,2028,107.85235968000002
Ineos Acetyls Hull,2029,107.85235968000002
Ineos Acetyls Hull,2030,107.85235968000002
Ineos Acetyls Hull,2031,107.49284044800002
Ineos Acetyls Hull,2032,107.13332121600003
Ineos Acetyls Hull,2033,106.77380198399999
Ineos Acetyls Hull,2034,106.41428275200002
Ineos Acetyls Hull,2035,106.05476352000002
Ineos Acetyls Hull,2036,105.69524428800001
Jaguar Land Rover Limited Solihull,2026,50.64754176
Jaguar Land Rover Limited Solihull,2027,50.64754176
Jaguar Land Rover Limited Solihull,2028,50.64754176
Jaguar Land Rover Limited Solihull,2029,50.64754176
Jaguar Land Rover Limited Solihull,2030,50.64754176000001
Jaguar Land Rover Limited Solihull,2031,50.478712832000014
Jaguar Land Rover Limited Solihull,2032,50.30988390400001
Jaguar Land Rover Limited Solihull,2033,50.141054976
Jaguar Land Rover Limited Solihull,2034,49.972226048
Jaguar Land Rover Limited Solihull,2035,49.80339712000001
Jaguar Land Rover Limited Solihull,2036,49.634568192
KETTON WORKS,2026,435.15131520000006
KETTON WORKS,2027,446.84893120000004
KETTON WORKS,2028,437.8595137280001
KETTON WORKS,2029,423.9073084480001
KETTON WORKS,2030,409.7011820720001
KETTON WORKS,2031,395.1600806400001
KETTON WORKS,2032,380.3650581120001
KETTON WORKS,2033,365.57003558400004
KETTON WORKS,2034,350.77501305600003
KETTON WORKS,2035,321.1849680000001
KETTON WORKS,2036,321.1849680000001
Knauf Drywall Sittingbourne,2026,39.27659520000001
Knauf Drywall Sittingbourne,2027,39.27659520000001
Knauf Drywall Sittingbourne,2028,39.27659520000001
Knauf Drywall Sittingbourne,2029,39.27659520000001
Knauf Drywall Sittingbourne,2030,39.27659520000001
Knauf Drywall Sittingbourne,2031,39.14567321600001
Knauf Drywall Sittingbourne,2032,39.01475123200001
Knauf Drywall Sittingbourne,2033,38.883829248000005
Knauf Drywall Sittingbourne,2034,38.752907264
Knauf Drywall Sittingbourne,2035,38.62198528000002
Knauf Drywall Sittingbourne,2036,38.49106329600001
Knauf Immingham,2026,36.5600256
Knauf Immingham,2027,36.5600256
Knauf Immingham,2028,36.5600256
Knauf Immingham,2029,36.5600256
Knauf Immingham,2030,36.56002560000001
Knauf Immingham,2031,36.43815884800001
Knauf Immingham,2032,36.316292096000005
Knauf Immingham,2033,36.194425344
Knauf Immingham,2034,36.072558592
Knauf Immingham,2035,35.950691840000005
Knauf Immingham,2036,35.828825088
Knauf Insulation Queensferry,2026,34.9573632
Knauf Insulation Queensferry,2027,34.9573632
Knauf Insulation Queensferry,2028,34.9573632
Knauf Insulation Queensferry,2029,34.9573632
Knauf Insulation Queensferry,2030,34.95736320000001
Knauf Insulation Queensferry,2031,34.840838656
Knauf Insulation Queensferry,2032,34.72431411200001
Knauf Insulation Queensferry,2033,34.607789568
Knauf Insulation Queensferry,2034,34.491265024
Knauf Insulation Queensferry,2035,34.37474048000001
Knauf Insulation Queensferry,2036,34.258215936
Kronospan Ltd,2026,139.41116928000002
Kronospan Ltd,2027,139.41116928000002
Kronospan Ltd,2028,139.41116928000002
Kronospan Ltd,2029,139.41116928000002
Kronospan Ltd,2030,139.41116928000005
Kronospan Ltd,2031,138.94645401600002
Kronospan Ltd,2032,138.48173875200004
Kronospan Ltd,2033,138.017023488
Kronospan Ltd,2034,137.55230822400003
Kronospan Ltd,2035,137.08759296000002
Kronospan Ltd,2036,136.62287769600005
Lhoist UK Limited,2026,162.18716160000002
Lhoist UK Limited,2027,162.18716160000002
Lhoist UK Limited,2028,162.18716160000002
Lhoist UK Limited,2029,162.18716160000002
Lhoist UK Limited,2030,162.18716160000005
Lhoist UK Limited,2031,161.64653772800003
Lhoist UK Limited,2032,161.10591385600006
Lhoist UK Limited,2033,160.56528998400003
Lhoist UK Limited,2034,160.024666112
Lhoist UK Limited,2035,159.48404224000004
Lhoist UK Limited,2036,158.94341836800004
Lindsey Oil Refinery,2026,660.3707904
Lindsey Oil Refinery,2027,660.3707904
Lindsey Oil Refinery,2028,660.3707904
Lindsey Oil Refinery,2029,660.3707904
Lindsey Oil Refinery,2030,660.3707904000001
Lindsey Oil Refinery,2031,658.1695544320002
Lindsey Oil Refinery,2032,655.9683184640003
Lindsey Oil Refinery,2033,653.7670824960001
Lindsey Oil Refinery,2034,651.5658465280001
Lindsey Oil Refinery,2035,649.3646105600001
Lindsey Oil Refinery,2036,647.1633745920001
Llanwern Steelworks,2026,34.84768
Llanwern Steelworks,2027,33.553896550400005
Llanwern Steelworks,2028,32.23064993119999
Llanwern Steelworks,2029,1.7820895999999242
Llanwern Steelworks,2030,1.6307119999999307
Llanwern Steelworks,2031,1.5612271999999336
Llanwern Steelworks,2032,1.4917423999999364
Llanwern Steelworks,2033,1.4222575999999394
Llanwern Steelworks,2034,1.352772799999947
Llanwern Steelworks,2035,1.2832879999999454
Llanwern Steelworks,2036,1.2605399999999465
Lochaber Smelter,2026,49.55750400000001
Lochaber Smelter,2027,49.55750400000001
Lochaber Smelter,2028,49.55750400000001
Lochaber Smelter,2029,49.55750400000001
Lochaber Smelter,2030,49.557504000000016
Lochaber Smelter,2031,49.392312320018505
Lochaber Smelter,2032,49.22712064001439
Lochaber Smelter,2033,49.061928960002255
Lochaber Smelter,2034,48.89673727999918
Lochaber Smelter,2035,48.73154560000471
Lochaber Smelter,2036,48.566353920000005
Measham,2026,33.712174080000004
Measham,2027,33.712174080000004
Measham,2028,33.712174080000004
Measham,2029,33.712174080000004
Measham,2030,33.71217408000001
Measham,2031,33.599798272
Measham,2032,33.48742246400001
Measham,2033,33.375046656
Measham,2034,33.262670848000006
Measham,2035,33.15029504000001
Measham,2036,33.03791923200001
Melton Ross Limeworks,2026,219.9341568
Melton Ross Limeworks,2027,219.9341568
Melton Ross Limeworks,2028,219.9341568
Melton Ross Limeworks,2029,219.9341568
Melton Ross Limeworks,2030,219.93415680000004
Melton Ross Limeworks,2031,219.20104294400005
Melton Ross Limeworks,2032,218.46792908800003
Melton Ross Limeworks,2033,217.734815232
Melton Ross Limeworks,2034,217.00170137599997
Melton Ross Limeworks,2035,216.26858752000004
