site,tech,year,units
Lhoist UK Limited,gas_boiler,2026,2.8538
Lhoist UK Limited,gas_boiler,2027,2.8538
Lhoist UK Limited,gas_boiler,2028,2.8538
Lhoist UK Limited,gas_boiler,2029,2.8538
Lhoist UK Limited,gas_boiler,2030,2.8538
Lhoist UK Limited,gas_boiler,2031,2.8443
Lhoist UK Limited,gas_boiler,2032,2.8348
Lhoist UK Limited,gas_boiler,2033,2.8253
Lhoist UK Limited,gas_boiler,2034,2.8157
Lhoist UK Limited,gas_boiler,2035,2.8062
Lhoist UK Limited,gas_boiler,2036,2.7967
Port Talbot Steelworks,bof,2026,0.0849
Port Talbot Steelworks,bof,2027,0.0815
Port Talbot Steelworks,eaf,2027,0.3
Port Talbot Steelworks,eaf,2028,3.0
Port Talbot Steelworks,eaf,2029,3.0
Port Talbot Steelworks,eaf,2030,3.0
Port Talbot Steelworks,eaf,2031,3.0
Port Talbot Steelworks,eaf,2032,3.0
Port Talbot Steelworks,eaf,2033,3.0
Port Talbot Steelworks,eaf,2034,3.0
Port Talbot Steelworks,eaf,2035,3.0
Port Talbot Steelworks,eaf,2036,3.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2026,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2027,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2028,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2029,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2030,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2031,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2032,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2033,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2034,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2035,0.0
Palm Paper Ltd PM7 Newsprint Mill,biomass_boiler,2036,0.0
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2026,2.793
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2027,2.793
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2028,2.793
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2029,2.793
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2030,2.793
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2031,2.7837
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2032,2.7744
Palm Paper Ltd PM7 Newsprint Mill,gas_boiler,2033,2.765
