site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Belfast,heat,small,False,heat,0.2417,gas_boiler,0.2686,1.445,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Shap,heat,small,False,heat,0.2194,gas_boiler,0.2438,1.554,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Belfast (2),heat,small,False,heat,0.4163,gas_boiler,0.4626,1.445,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Lancaster,heat,small,False,heat,0.2042,gas_boiler,0.2268,1.608,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Doncaster,heat,small,False,heat,0.2275,gas_boiler,0.2528,1.518,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Darley Dale,heat,mid,False,heat,0.9472,gas_boiler,1.0524,1.194,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Llanelli,heat,small,False,heat,0.3152,gas_boiler,0.3503,1.273,South Wales,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Chirnside,heat,small,False,heat,0.4892,gas_boiler,0.5436,1.073,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Stourton,heat,small,False,heat,0.6243,gas_boiler,0.6937,1.001,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Worsley,heat,small,False,heat,0.8561,gas_boiler,0.9513,0.91,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Manchester,heat,small,False,heat,0.2176,gas_boiler,0.2417,1.563,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Harlow,heat,small,False,heat,0.3986,gas_boiler,0.4429,1.164,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Bromborough,heat,small,False,heat,0.3544,gas_boiler,0.3938,1.237,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Northfleet Mill,heat,small,False,heat,0.2411,gas_boiler,0.2679,1.454,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Cowley,heat,small,False,heat,0.541,gas_boiler,0.6011,1.064,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
AH Marks Bradford CHP,heat,small,False,heat,0.4311,gas_boiler,0.479,1.119,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
